age,website_visits,time_spent_on_website,page_views_per_visit,status,current_occupation_Professional,current_occupation_Student,current_occupation_Unemployed,first_interaction_Mobile App,first_interaction_Website,profile_completed_High,profile_completed_Low,profile_completed_Medium,last_activity_Email Activity,last_activity_Phone Activity,last_activity_Website Activity,print_media_type1_No,print_media_type1_Yes,print_media_type2_No,print_media_type2_Yes,digital_media_No,digital_media_Yes,educational_channels_No,educational_channels_Yes,referral_No,referral_Yes
57,7,1639,1.861,1,False,False,True,False,True,True,False,False,False,False,True,False,True,True,False,False,True,True,False,True,False
56,2,83,0.32,0,True,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False,False,True,True,False
52,3,330,0.074,0,True,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False
53,4,464,2.057,1,False,False,True,False,True,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False
23,4,600,16.914,0,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
50,4,212,5.682,0,False,False,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,True,False
56,13,625,2.015,1,True,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False
57,2,517,2.985,0,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
57,2,2231,2.194,1,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,True,False,True,False
59,1,1819,3.513,0,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
52,2,433,2.14,1,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
57,3,616,3.485,1,True,False,False,False,True,True,False,False,False,False,True,False,True,False,True,True,False,True,False,True,False
35,4,239,2.214,0,True,False,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
23,3,115,2.69,0,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
56,6,358,0.279,0,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
62,5,1057,5.605,0,False,False,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,True,False
47,3,1419,3.45,1,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True
35,7,926,3.655,0,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False
39,2,97,2.948,0,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
36,4,399,2.031,0,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
20,1,362,2.808,0,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False
60,3,56,3.691,0,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
58,1,271,2.561,0,False,False,True,False,True,True,False,False,False,False,True,False,True,True,False,True,False,True,False,True,False
32,5,352,3.773,0,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,True,True,False
49,5,2293,3.233,1,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
46,4,1842,2.11,1,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False
46,2,211,2.14,0,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False
45,1,1631,1.5,0,True,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False
44,4,299,2.172,0,False,False,True,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False
42,2,62,2.158,0,False,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
36,2,1,5.288,0,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False
55,13,1055,1.373,1,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,True,True,False
58,12,1151,18.434,0,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,True,False
56,0,0,0.0,0,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
55,2,552,1.885,1,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
46,2,85,1.85,0,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
59,1,298,1.212,0,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
59,0,0,0.0,1,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
39,4,44,5.292,0,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
38,2,301,0.004,0,True,False,False,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False
57,3,439,3.843,0,False,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
38,2,102,5.229,0,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
44,6,42,3.395,0,True,False,False,True,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False
57,3,292,1.946,0,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,True,False,True,False,True,False
56,2,1,2.064,0,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
18,2,87,1.402,0,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
60,5,2284,2.939,1,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
35,2,497,7.05,0,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
40,7,1278,4.722,0,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False
44,1,419,4.285,0,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
19,7,354,3.2,0,False,True,False,True,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False
56,8,718,2.395,1,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
56,1,582,2.138,1,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True
46,1,1283,2.22,1,True,False,False,False,True,True,False,False,False,False,True,True,False,True,False,True,False,False,True,True,False
28,0,0,0.0,0,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False
21,3,524,1.868,1,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False,False,True,True,False
49,6,1557,0.159,1,True,False,False,False,True,True,False,False,False,False,True,False,True,True,False,True,False,False,True,True,False
57,2,1608,0.241,1,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
53,2,408,2.453,0,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
35,2,641,3.193,1,True,False,False,False,True,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False
57,1,6,1.99,1,True,False,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
41,5,82,4.445,0,True,False,False,True,False,False,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False
56,2,332,2.243,0,True,False,False,True,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False
39,2,378,0.237,0,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,True,True,False
29,3,379,3.56,0,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
51,3,73,3.029,0,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,False,True,True,False,True,False
59,25,311,2.184,0,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False
19,3,1382,3.521,0,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False
59,2,1453,0.248,0,True,False,False,True,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False
59,4,231,2.204,0,False,False,True,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,True,True,False
19,4,106,2.183,0,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
43,4,57,1.011,0,False,False,True,True,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False,True,False
58,4,490,2.171,1,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
42,2,222,3.637,1,False,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
61,6,1028,2.36,1,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False
45,2,1,2.226,0,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
60,1,42,4.162,1,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,True,False,True,False,True,False
52,2,2449,2.055,0,False,False,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
24,2,147,2.189,0,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
56,3,618,5.645,0,False,False,True,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
53,3,1353,3.187,1,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
36,1,1935,3.569,0,False,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False
43,5,2024,3.403,0,False,False,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
54,3,194,2.208,0,True,False,False,True,False,True,False,False,False,False,True,True,False,True,False,True,False,False,True,True,False
18,8,1931,0.158,0,False,True,False,False,True,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False
22,4,216,2.232,0,False,True,False,False,True,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False
55,2,2286,0.278,0,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False
49,1,1,2.075,0,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False
35,2,46,3.171,0,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
49,7,165,1.389,0,False,False,True,True,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False
58,2,72,2.01,1,True,False,False,False,True,True,False,False,False,False,True,False,True,True,False,True,False,False,True,True,False
45,2,685,2.185,1,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
57,2,423,2.151,0,True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False
32,4,246,3.862,0,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False
49,0,0,0.0,1,False,False,True,False,True,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False
59,1,989,4.325,1,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
60,3,677,3.578,1,False,False,True,False,True,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False
46,3,1367,3.66,1,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False
60,2,2270,3.723,0,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
57,4,131,3.812,0,True,False,False,False,True,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False
34,5,1445,5.557,1,True,False,False,True,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False
32,3,75,2.052,0,True,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False
59,2,574,3.314,1,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
57,3,212,2.275,0,True,False,False,True,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False
58,7,1565,1.695,1,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
38,2,325,3.468,0,False,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
54,4,57,4.408,0,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False
58,4,88,0.23,0,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
48,2,2230,3.618,1,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
43,5,272,2.074,0,False,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False
31,1,187,7.364,1,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False
56,5,295,3.692,0,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
48,3,344,5.655,0,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
33,1,329,2.288,0,True,False,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False
56,2,183,5.273,1,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False
57,2,1295,5.123,1,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
39,2,643,0.308,1,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
57,2,1152,2.991,0,False,False,True,True,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False
58,4,49,1.911,0,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False
44,4,1865,5.387,1,False,False,True,True,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False
59,5,37,0.25,0,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
56,2,561,6.887,0,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
58,3,110,2.233,0,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
58,7,2353,2.775,0,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
24,3,149,0.294,0,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
59,2,246,7.662,0,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False
35,4,177,0.214,0,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
54,0,0,0.0,0,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
46,1,268,3.751,1,True,False,False,False,True,True,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False
24,2,224,0.171,0,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,False,True,True,False,True,False
60,7,47,3.72,1,False,False,True,False,True,True,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False
45,5,2062,3.269,1,False,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
59,2,41,2.037,1,False,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False,True,True,False,True,False
32,3,642,2.239,1,False,False,True,True,False,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False
58,7,476,2.17,0,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False
49,2,194,7.915,0,True,False,False,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,False,True
24,8,304,2.159,0,False,True,False,False,True,True,False,False,False,False,True,False,True,True,False,True,False,True,False,True,False
56,4,894,3.526,0,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False
24,8,563,3.871,1,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
39,2,568,2.223,1,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False
53,5,392,3.912,0,False,False,True,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
59,4,504,6.644,0,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
55,3,561,5.589,0,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
56,3,2000,0.137,0,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,True,False,True,False,True,False
34,2,385,3.844,1,True,False,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
24,5,1374,3.342,0,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False,True,True,False,True,False
46,3,1098,3.538,1,False,False,True,False,True,False,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False
29,8,1210,3.763,1,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
46,2,2509,3.871,1,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
32,5,690,2.095,1,True,False,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False
38,2,99,3.704,0,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
32,8,1537,2.202,0,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False
60,4,1054,3.725,0,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False
41,1,1542,0.37,0,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
59,5,586,0.247,0,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False
57,6,536,2.148,0,False,False,True,True,False,True,False,False,False,False,True,True,False,True,False,True,False,False,True,True,False
50,8,1731,3.553,1,False,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
44,4,654,3.478,0,False,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
18,5,466,2.138,0,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
37,7,2292,3.324,1,True,False,False,False,True,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False
54,1,1606,3.61,0,False,False,True,True,False,True,False,False,False,True,False,True,False,True,False,False,True,True,False,True,False
63,2,58,2.182,0,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
48,2,642,5.441,0,False,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
56,0,0,0.0,0,False,False,True,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
60,2,618,1.954,1,True,False,False,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False
20,5,276,3.104,0,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False
62,3,1579,0.228,0,False,False,True,False,True,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False
20,4,173,5.337,0,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False
56,2,1687,2.226,1,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False
29,2,1,1.888,0,True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False
34,0,0,0.0,0,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,True,False
20,4,45,1.966,0,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
